0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"[-0.0, 0.0, 0.6474897265434265]","[-0.08785400539636612, -0.09698765724897385, 0.6433178782463074]","[-0.2760971784591675, 0.2072330266237259, 0.43286800384521484]","[-0.28581738471984863, 0.16975945234298706, 0.09172958135604858]","[0.0872211903333664, 0.09113774448633194, 0.6500733494758606]","[0.07568066567182541, 0.2543281316757202, 0.3164214789867401]","[0.03556225448846817, 0.23151782155036926, 0.0]","[0.0038164062425494194, -0.01641378551721573, 0.8906610012054443]","[0.0006206054822541773, -0.07553757727146149, 1.1513895988464355]","[-0.11213745176792145, -0.05865780636668205, 1.3065487146377563]","[-0.1137382835149765, -0.14700880646705627, 1.3520290851593018]","[0.12343261390924454, 0.021723415702581406, 1.1418445110321045]","[0.11285937577486038, 0.16829659044742584, 0.8835993409156799]","[0.007326904218643904, 0.31195858120918274, 0.7198235988616943]","[-0.10484692454338074, -0.1890563815832138, 1.10499107837677]","[-0.12648583948612213, -0.16126877069473267, 0.8195086717605591]","[-0.20777587592601776, 0.012737247161567211, 0.6239185333251953]"
"[-0.0, 0.0, 0.6476787328720093]","[-0.09188085794448853, -0.09453767538070679, 0.6438509821891785]","[-0.27980419993400574, 0.23154111206531525, 0.44625723361968994]","[-0.2813369035720825, 0.1739300787448883, 0.10878628492355347]","[0.09112206846475601, 0.08904773741960526, 0.6499974727630615]","[0.07966528087854385, 0.2616158127784729, 0.31699585914611816]","[0.04372314363718033, 0.24381203949451447, 0.0]","[0.003857177682220936, -0.015976402908563614, 0.8918657302856445]","[0.00024194335856009275, -0.0752616599202156, 1.1530582904815674]","[-0.11231616139411926, -0.05594055727124214, 1.3066270351409912]","[-0.11587060242891312, -0.14729870855808258, 1.3540918827056885]","[0.12325000017881393, 0.02092110551893711, 1.1453391313552856]","[0.1124265119433403, 0.16612200438976288, 0.8868880867958069]","[0.014777343720197678, 0.31406065821647644, 0.723953902721405]","[-0.10532348603010178, -0.18702158331871033, 1.1051889657974243]","[-0.11544555425643921, -0.14671511948108673, 0.8257094621658325]","[-0.1925371140241623, 0.03119070455431938, 0.6279441118240356]"
"[-0.0, 0.0, 0.655203640460968]","[-0.08931835740804672, -0.09570152312517166, 0.6514096856117249]","[-0.28108569979667664, 0.23057769238948822, 0.4536222219467163]","[-0.28278297185897827, 0.18738555908203125, 0.11209499835968018]","[0.08890502899885178, 0.08955710381269455, 0.657362699508667]","[0.08172240853309631, 0.2642761468887329, 0.3245013654232025]","[0.04598706215620041, 0.2703205645084381, 0.0]","[0.00044360352330841124, -0.01786048524081707, 0.8977457284927368]","[-0.007314208894968033, -0.07954171299934387, 1.1576292514801025]","[-0.12497314810752869, -0.06140817329287529, 1.310426950454712]","[-0.12888744473457336, -0.14929312467575073, 1.3580619096755981]","[0.11061840504407883, 0.020217370241880417, 1.1532888412475586]","[0.10292553901672363, 0.16682320833206177, 0.8945821523666382]","[0.005545410327613354, 0.30688953399658203, 0.7273253202438354]","[-0.10597924888134003, -0.1905212104320526, 1.10557222366333]","[-0.11212597787380219, -0.15317454934120178, 0.8261865377426147]","[-0.18260230123996735, 0.020582420751452446, 0.623274564743042]"
"[-0.0, 0.0, 0.6646735668182373]","[-0.09296850860118866, -0.0905073881149292, 0.6632662415504456]","[-0.27964329719543457, 0.23531568050384521, 0.46103635430336]","[-0.2940954566001892, 0.2133306860923767, 0.12330663204193115]","[0.09315259009599686, 0.08414798229932785, 0.6644425988197327]","[0.08269213885068893, 0.2570973336696625, 0.3285873830318451]","[0.05053368955850601, 0.262564092874527, 0.0]","[-0.00511083984747529, -0.016327019780874252, 0.905382513999939]","[-0.019962890073657036, -0.07676392048597336, 1.1632776260375977]","[-0.12928491830825806, -0.05576532334089279, 1.314964771270752]","[-0.1369963437318802, -0.1474529206752777, 1.3574211597442627]","[0.09717676043510437, 0.019206959754228592, 1.1644573211669922]","[0.09232129156589508, 0.1611975133419037, 0.905910849571228]","[0.006721191573888063, 0.2978515625, 0.731022298336029]","[-0.11750976741313934, -0.1844944804906845, 1.1079306602478027]","[-0.10703344643115997, -0.14741845428943634, 0.8345666527748108]","[-0.1735571324825287, 0.012673738412559032, 0.6221784353256226]"
"[-0.0, 0.0, 0.6628130078315735]","[-0.09363403171300888, -0.08795873820781708, 0.6618198156356812]","[-0.27192530035972595, 0.2373201847076416, 0.46186816692352295]","[-0.2983630299568176, 0.21109241247177124, 0.12898319959640503]","[0.09402710199356079, 0.08065605163574219, 0.662148118019104]","[0.09090112149715424, 0.2513665556907654, 0.3259769380092621]","[0.05925854668021202, 0.22410589456558228, 0.0]","[-0.006624023430049419, -0.014457172714173794, 0.9050284624099731]","[-0.02342871017754078, -0.07685346901416779, 1.1641731262207031]","[-0.13968530297279358, -0.05667717754840851, 1.313319444656372]","[-0.15193310379981995, -0.14645983278751373, 1.3599724769592285]","[0.09413720667362213, 0.01655522920191288, 1.1629124879837036]","[0.08779004216194153, 0.1648688018321991, 0.9094666838645935]","[0.006742675788700581, 0.3007600009441376, 0.7332150936126709]","[-0.1206372082233429, -0.17955759167671204, 1.1096086502075195]","[-0.09929492324590683, -0.1209239810705185, 0.8374062776565552]","[-0.1571647971868515, 0.043986622244119644, 0.6213048100471497]"
"[-0.0, 0.0, 0.6824126243591309]","[-0.09659960865974426, -0.07447950541973114, 0.6797183156013489]","[-0.26517918705940247, 0.19199450314044952, 0.43809401988983154]","[-0.3342268168926239, 0.10641994327306747, 0.13790392875671387]","[0.09776367247104645, 0.06823500245809555, 0.6842922568321228]","[0.09723144769668579, 0.2277374118566513, 0.33247706294059753]","[0.06663916260004044, 0.16846948862075806, 0.0]","[-0.024184569716453552, -0.0082596056163311, 0.9237500429153442]","[-0.059855714440345764, -0.06861216574907303, 1.1794304847717285]","[-0.18688207864761353, -0.055258121341466904, 1.325852632522583]","[-0.20146094262599945, -0.14185070991516113, 1.3733594417572021]","[0.05674487352371216, 0.013692395761609077, 1.1788263320922852]","[0.06335717439651489, 0.1629766821861267, 0.9284713268280029]","[0.005831786897033453, 0.3031792938709259, 0.7476000189781189]","[-0.15546850860118866, -0.15756875276565552, 1.123223066329956]","[-0.10303027182817459, -0.07963544875383377, 0.861192524433136]","[-0.13627050817012787, 0.08296657353639603, 0.6327263712882996]"
"[-0.0, 0.0, 0.7022949457168579]","[-0.0972883328795433, -0.06695378571748734, 0.6952667236328125]","[-0.26152369379997253, 0.18800321221351624, 0.4239901304244995]","[-0.32118627429008484, 0.15274034440517426, 0.11532962322235107]","[0.09917822480201721, 0.061596427112817764, 0.7088828086853027]","[0.0984812006354332, 0.21712039411067963, 0.34676259756088257]","[0.0723874494433403, 0.21109677851200104, 0.0]","[-0.04212548956274986, -0.005709369201213121, 0.9356141686439514]","[-0.0958237275481224, -0.05469289794564247, 1.1822421550750732]","[-0.21052563190460205, -0.03732352331280708, 1.3211572170257568]","[-0.23835937678813934, -0.1324090212583542, 1.358100175857544]","[0.013552490621805191, 0.019915249198675156, 1.1886022090911865]","[0.03414038196206093, 0.1588447093963623, 0.9453712701797485]","[-6.372070492943749e-05, 0.2917062044143677, 0.7560352087020874]","[-0.18552294373512268, -0.1297641098499298, 1.1240575313568115]","[-0.11528711020946503, -0.05564381554722786, 0.8749048113822937]","[-0.12925927340984344, 0.09439393132925034, 0.6414623260498047]"
"[-0.0, 0.0, 0.7282646298408508]","[-0.0933222621679306, -0.07450906932353973, 0.7168613076210022]","[-0.2551955580711365, 0.1420733481645584, 0.4179189205169678]","[-0.2965141534805298, 0.060813311487436295, 0.10991162061691284]","[0.09488159418106079, 0.06998543441295624, 0.7399035692214966]","[0.10779418796300888, 0.18484680354595184, 0.3576371967792511]","[0.09415234625339508, 0.16670402884483337, 0.0]","[-0.06676245480775833, -0.00012403428263496608, 0.9528840184211731]","[-0.14390893280506134, -0.03527693822979927, 1.187406063079834]","[-0.25696679949760437, -0.010319849476218224, 1.3209583759307861]","[-0.27610743045806885, -0.1124933660030365, 1.350235104560852]","[-0.039744142442941666, 0.05351123958826065, 1.201404094696045]","[0.0009499511797912419, 0.17447827756404877, 0.9617172479629517]","[-0.05570996180176735, 0.2750347852706909, 0.7598394751548767]","[-0.22868041694164276, -0.1315702497959137, 1.131609320640564]","[-0.15007176995277405, -0.1256248652935028, 0.8880788087844849]","[-0.16139258444309235, -0.0038877057377249002, 0.6495411396026611]"
"[-0.0, 0.0, 0.744049072265625]","[-0.08992968499660492, -0.0839628279209137, 0.7321329116821289]","[-0.2563493549823761, 0.16066589951515198, 0.4384337067604065]","[-0.28157591819763184, 0.13353343307971954, 0.11244237422943115]","[0.09105785936117172, 0.07909893989562988, 0.7557110786437988]","[0.11425463855266571, 0.17845581471920013, 0.3657539188861847]","[0.11189623922109604, 0.14340119063854218, 0.0]","[-0.08066406100988388, 0.004641975276172161, 0.9633769392967224]","[-0.16988085210323334, -0.01969621516764164, 1.1909722089767456]","[-0.2867194712162018, 0.004761213902384043, 1.3218493461608887]","[-0.3051503896713257, -0.0950167253613472, 1.3526753187179565]","[-0.06560693681240082, 0.07882549613714218, 1.2033495903015137]","[-0.016444336622953415, 0.19563697278499603, 0.9672137498855591]","[-0.07664648443460464, 0.29010728001594543, 0.7632993459701538]","[-0.2529833912849426, -0.12504981458187103, 1.1375166177749634]","[-0.1816118210554123, -0.1423819214105606, 0.8928613066673279]","[-0.20854736864566803, -0.007337601389735937, 0.6640041470527649]"
"[-0.0, 0.0, 0.7543905973434448]","[-0.0957934558391571, -0.08376098424196243, 0.74086594581604]","[-0.2516811490058899, 0.15530361235141754, 0.43240901827812195]","[-0.24223266541957855, 0.03164830431342125, 0.11257612705230713]","[0.09581591933965683, 0.07979191839694977, 0.7681576609611511]","[0.14008544385433197, 0.18076317012310028, 0.3706221580505371]","[0.15406811237335205, 0.09039954096078873, 0.0]","[-0.08929907530546188, 0.01932147704064846, 0.9726114273071289]","[-0.18770410120487213, 0.013838786631822586, 1.196821689605713]","[-0.320309579372406, 0.03485245257616043, 1.3119969367980957]","[-0.3398996591567993, -0.06421922147274017, 1.3467391729354858]","[-0.0810229480266571, 0.11556634306907654, 1.2084970474243164]","[-0.0342409685254097, 0.2324146330356598, 0.9728407859802246]","[-0.12207836657762527, 0.3343449831008911, 0.7761626839637756]","[-0.26938697695732117, -0.10764613747596741, 1.145774483680725]","[-0.23201538622379303, -0.1428251713514328, 0.8922704458236694]","[-0.2947641611099243, -0.019015900790691376, 0.6643942594528198]"
"[-0.0, 0.0, 0.757739245891571]","[-0.09124755859375, -0.09070070087909698, 0.7434203028678894]","[-0.25163403153419495, 0.18031084537506104, 0.44126659631729126]","[-0.23445922136306763, 0.14223742485046387, 0.10527586936950684]","[0.09080883860588074, 0.08653458952903748, 0.7716296315193176]","[0.14030614495277405, 0.19845141470432281, 0.3776986002922058]","[0.161347895860672, 0.13992156088352203, 0.0]","[-0.09690234065055847, 0.03187263756990433, 0.9725620150566101]","[-0.20326684415340424, 0.05050964280962944, 1.1925450563430786]","[-0.34422242641448975, 0.06205166503787041, 1.294924020767212]","[-0.3569279909133911, -0.02229803055524826, 1.3381816148757935]","[-0.10182543843984604, 0.15116286277770996, 1.2064241170883179]","[-0.0913073718547821, 0.2521684467792511, 0.9453190565109253]","[-0.20192407071590424, 0.3577249050140381, 0.7607496380805969]","[-0.2775500416755676, -0.0887264609336853, 1.142523169517517]","[-0.2681257426738739, -0.10525131225585938, 0.8791859149932861]","[-0.34352171421051025, 0.02356059104204178, 0.6625385880470276]"
"[-0.0, 0.0, 0.7569807171821594]","[-0.09347802400588989, -0.09034956246614456, 0.7444165349006653]","[-0.24876977503299713, 0.23719143867492676, 0.4645024538040161]","[-0.2097453624010086, 0.2868334949016571, 0.11321461200714111]","[0.09319067746400833, 0.0869230255484581, 0.7686895728111267]","[0.15925610065460205, 0.228566512465477, 0.3827367126941681]","[0.18735449016094208, 0.21081259846687317, 0.0]","[-0.10513915866613388, 0.047100912779569626, 0.9719172716140747]","[-0.21927759051322937, 0.08962634950876236, 1.1885921955108643]","[-0.36198925971984863, 0.09190965443849564, 1.2914756536483765]","[-0.37312376499176025, 0.017023909837007523, 1.3307663202285767]","[-0.11916137486696243, 0.18022224307060242, 1.2008824348449707]","[-0.1050124540925026, 0.27383342385292053, 0.9204152822494507]","[-0.23499463498592377, 0.38498398661613464, 0.7479333281517029]","[-0.29140526056289673, -0.06103089079260826, 1.1439096927642822]","[-0.3268408179283142, -0.06764653325080872, 0.8695763945579529]","[-0.41752415895462036, 0.05464974045753479, 0.6551477313041687]"
"[-0.0, 0.0, 0.7526813745498657]","[-0.09666503965854645, -0.08864050358533859, 0.739776074886322]","[-0.2501809000968933, 0.2704044282436371, 0.47054439783096313]","[-0.1772441416978836, 0.33926334977149963, 0.11668699979782104]","[0.09584326297044754, 0.08454675227403641, 0.7644131779670715]","[0.17826415598392487, 0.25280365347862244, 0.3855864107608795]","[0.2287316918373108, 0.27908098697662354, 0.0]","[-0.11882250756025314, 0.050362274050712585, 0.9696304798126221]","[-0.24594628810882568, 0.09848210215568542, 1.1842515468597412]","[-0.3881298899650574, 0.10274993628263474, 1.285879135131836]","[-0.3957502543926239, 0.03588447719812393, 1.327856421470642]","[-0.145538330078125, 0.19159939885139465, 1.203238606452942]","[-0.14524585008621216, 0.29017212986946106, 0.9123563170433044]","[-0.2797287702560425, 0.39922550320625305, 0.7293310165405273]","[-0.31666332483291626, -0.0544765330851078, 1.1384899616241455]","[-0.4071113169193268, -0.04768284782767296, 0.8635419607162476]","[-0.527203381061554, 0.09329181164503098, 0.663615345954895]"
