0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"[-0.0, 0.0, 0.6427643895149231]","[-0.08694067597389221, 0.10265623778104782, 0.6437429189682007]","[-0.07988549768924713, 0.23719143867492676, 0.3089902102947235]","[-0.035490233451128006, 0.10789085179567337, 0.0]","[0.08936279267072678, -0.10658790171146393, 0.6399281024932861]","[0.2688606083393097, 0.23671966791152954, 0.43553319573402405]","[0.27705469727516174, 0.32280027866363525, 0.09427022933959961]","[-0.009548339992761612, -0.021876083686947823, 0.8889399170875549]","[-0.009424804709851742, -0.08352365344762802, 1.1526908874511719]","[0.10934668034315109, -0.07861302047967911, 1.306277871131897]","[0.1134624034166336, -0.1689453274011612, 1.3526568412780762]","[0.0993649885058403, -0.2074776440858841, 1.1062434911727905]","[0.12062280625104904, -0.13742876052856445, 0.8184018135070801]","[0.20201317965984344, 0.04181414842605591, 0.6250855326652527]","[-0.12996216118335724, 0.03230153024196625, 1.1437486410140991]","[-0.12057153135538101, 0.17772376537322998, 0.8829818964004517]","[-0.013287841342389584, 0.31374219059944153, 0.7230384349822998]"
"[-0.0, 0.0, 0.6403666734695435]","[-0.08866943418979645, 0.10293272137641907, 0.6392654776573181]","[-0.07841747999191284, 0.24222302436828613, 0.30855831503868103]","[-0.03752514719963074, 0.10076838731765747, 0.0]","[0.09093408286571503, -0.10676613450050354, 0.639800488948822]","[0.2743527889251709, 0.2441886067390442, 0.4475405216217041]","[0.2781974971294403, 0.3292648196220398, 0.1026073694229126]","[-0.00793164037168026, -0.01933971233665943, 0.8860099911689758]","[-0.0057531739585101604, -0.08257625997066498, 1.1487895250320435]","[0.11467895656824112, -0.07898387312889099, 1.3023649454116821]","[0.11902270466089249, -0.1687753051519394, 1.348569393157959]","[0.10091113299131393, -0.20474937558174133, 1.1021071672439575]","[0.11381445080041885, -0.11879874020814896, 0.8206779360771179]","[0.19153735041618347, 0.06156750023365021, 0.6251913905143738]","[-0.12514843046665192, 0.03328372910618782, 1.1400458812713623]","[-0.10740136355161667, 0.181772381067276, 0.881670355796814]","[-0.0036513672675937414, 0.3161982297897339, 0.7192818522453308]"
"[-0.0, 0.0, 0.6528139710426331]","[-0.09064380079507828, 0.09974921494722366, 0.6512568593025208]","[-0.08445751667022705, 0.23815204203128815, 0.3172999322414398]","[-0.04412841796875, 0.11001058667898178, 0.0]","[0.09256786853075027, -0.10359887778759003, 0.6526534557342529]","[0.2716730833053589, 0.2482658326625824, 0.45994627475738525]","[0.27977368235588074, 0.33672046661376953, 0.11925011873245239]","[-0.005688964854925871, -0.020878562703728676, 0.8966575860977173]","[-3.7841797166038305e-05, -0.08599650859832764, 1.1577297449111938]","[0.12022021412849426, -0.08231576532125473, 1.311047077178955]","[0.1247548833489418, -0.17279350757598877, 1.3572056293487549]","[0.10234350711107254, -0.20601946115493774, 1.1070749759674072]","[0.10341479629278183, -0.12198008596897125, 0.8271832466125488]","[0.1739841252565384, 0.055803023278713226, 0.6256965398788452]","[-0.11628832668066025, 0.02846061810851097, 1.1525856256484985]","[-0.10507959127426147, 0.1765882819890976, 0.8941178321838379]","[-0.006219726521521807, 0.3042357265949249, 0.7241168022155762]"
"[-0.0, 0.0, 0.6639450788497925]","[-0.09048999100923538, 0.09797053784132004, 0.6623266935348511]","[-0.08063940703868866, 0.2357892096042633, 0.32535243034362793]","[-0.044313475489616394, 0.13102978467941284, 0.0]","[0.09178271144628525, -0.1016116738319397, 0.6638780832290649]","[0.27400317788124084, 0.24625536799430847, 0.46342408657073975]","[0.28813719749450684, 0.3789407014846802, 0.12019068002700806]","[0.0019899902399629354, -0.023730624467134476, 0.9040114879608154]","[0.016606200486421585, -0.09045884758234024, 1.161508560180664]","[0.128294438123703, -0.08175595104694366, 1.3155910968780518]","[0.13890381157398224, -0.1754455417394638, 1.358870267868042]","[0.11727295070886612, -0.20218871533870697, 1.1063613891601562]","[0.10566040128469467, -0.13280433416366577, 0.8318299651145935]","[0.16945630311965942, 0.03310881927609444, 0.6203777194023132]","[-0.09898803383111954, 0.020016096532344818, 1.1606509685516357]","[-0.09368506073951721, 0.17044873535633087, 0.9052937030792236]","[-0.0070861815474927425, 0.29520556330680847, 0.7278262972831726]"
"[-0.0, 0.0, 0.6652114391326904]","[-0.09238256514072418, 0.09570463746786118, 0.6655160188674927]","[-0.08218750357627869, 0.2150367945432663, 0.3207361102104187]","[-0.04626074060797691, 0.060337331146001816, 0.0]","[0.09367773681879044, -0.09842371940612793, 0.6631799340248108]","[0.27614134550094604, 0.2420240044593811, 0.4587191343307495]","[0.3031230568885803, 0.36990827322006226, 0.12272387742996216]","[0.0056340331211686134, -0.023167314007878304, 0.9037043452262878]","[0.024207519367337227, -0.09186422824859619, 1.1586484909057617]","[0.14177636802196503, -0.08731425553560257, 1.3122584819793701]","[0.1525246649980545, -0.18079155683517456, 1.355098009109497]","[0.12273462116718292, -0.20018140971660614, 1.1023939847946167]","[0.10383935272693634, -0.11823569983243942, 0.8293778300285339]","[0.16325317323207855, 0.04938500002026558, 0.616672158241272]","[-0.09008251875638962, 0.015437382273375988, 1.1574087142944336]","[-0.08734375238418579, 0.16904233396053314, 0.9018266797065735]","[-0.0049243164248764515, 0.2965511679649353, 0.7237866520881653]"
"[-0.0, 0.0, 0.6772832274436951]","[-0.09725317358970642, 0.08232444524765015, 0.674690306186676]","[-0.09798803925514221, 0.2168826460838318, 0.3261443078517914]","[-0.0667106956243515, 0.022387640550732613, 0.0]","[0.09760595858097076, -0.08587998151779175, 0.6787168383598328]","[0.2622067928314209, 0.20979876816272736, 0.434285432100296]","[0.33134520053863525, 0.21919766068458557, 0.13266533613204956]","[0.01896948181092739, -0.013941524550318718, 0.921015739440918]","[0.052933838218450546, -0.08469817787408829, 1.1791815757751465]","[0.18434180319309235, -0.08533839881420135, 1.3244960308074951]","[0.20141065120697021, -0.1774541288614273, 1.3720887899398804]","[0.14940990507602692, -0.18122924864292145, 1.1241825819015503]","[0.09494433552026749, -0.08305518329143524, 0.8613114356994629]","[0.13043946027755737, 0.08109374344348907, 0.632257342338562]","[-0.0607302263379097, 0.017586443573236465, 1.179929494857788]","[-0.07178393751382828, 0.16699841618537903, 0.924793004989624]","[-0.008501953445374966, 0.29797548055648804, 0.741574227809906]"
"[-0.0, 0.0, 0.6883347034454346]","[-0.09669970721006393, 0.08120189607143402, 0.6898045539855957]","[-0.1014387235045433, 0.20992511510849, 0.33070480823516846]","[-0.0750737339258194, 0.020390303805470467, 0.0]","[0.0967402309179306, -0.08302131295204163, 0.6856245994567871]","[0.25797802209854126, 0.20047594606876373, 0.4255813956260681]","[0.31754857301712036, 0.20691056549549103, 0.11923021078109741]","[0.03523974493145943, -0.009956059977412224, 0.9289257526397705]","[0.08546435832977295, -0.07872898876667023, 1.1821609735488892]","[0.21723265945911407, -0.0757211446762085, 1.3215296268463135]","[0.23952440917491913, -0.1706734001636505, 1.3599231243133545]","[0.17675024271011353, -0.16653887927532196, 1.1279773712158203]","[0.10577759146690369, -0.06083858385682106, 0.8734180927276611]","[0.12566430866718292, 0.10290162265300751, 0.6436412334442139]","[-0.022472167387604713, 0.023769311606884003, 1.1891809701919556]","[-0.04796118289232254, 0.16636888682842255, 0.93950355052948]","[-0.004145507700741291, 0.29563358426094055, 0.7526723742485046]"
"[-0.0, 0.0, 0.7346946001052856]","[-0.09554076939821243, 0.0813802182674408, 0.7450076937675476]","[-0.10481738299131393, 0.16820162534713745, 0.35707974433898926]","[-0.08717260509729385, 0.016697075217962265, 0.0]","[0.09566064178943634, -0.08001098036766052, 0.723892092704773]","[0.25553199648857117, 0.18411019444465637, 0.4306153655052185]","[0.2975688576698303, 0.25886446237564087, 0.11108452081680298]","[0.06431885063648224, -0.013387189246714115, 0.9562655091285706]","[0.14267748594284058, -0.0642264261841774, 1.1880972385406494]","[0.2554851174354553, -0.04588095098733902, 1.3209302425384521]","[0.28172802925109863, -0.15368014574050903, 1.3513963222503662]","[0.23216919600963593, -0.15309597551822662, 1.1331945657730103]","[0.14594580233097076, -0.1150495633482933, 0.890338659286499]","[0.15893065929412842, -0.00312149990350008, 0.6487336754798889]","[0.04019726440310478, 0.039371639490127563, 1.2010493278503418]","[-0.0009675293113104999, 0.1730230450630188, 0.9589824676513672]","[0.050026122480630875, 0.2817327380180359, 0.7655270099639893]"
"[-0.0, 0.0, 0.7418464422225952]","[-0.09245800971984863, 0.09055617451667786, 0.7502064108848572]","[-0.11589501798152924, 0.18280550837516785, 0.3617779612541199]","[-0.10579809546470642, 0.023889506235718727, 0.0]","[0.09262402355670929, -0.09245092421770096, 0.732182502746582]","[0.25694555044174194, 0.1869460791349411, 0.4433657228946686]","[0.27953246235847473, 0.2629673480987549, 0.112423837184906]","[0.0762939453125, -0.006130640394985676, 0.9641567468643188]","[0.16602930426597595, -0.052514538168907166, 1.1941784620285034]","[0.2882375419139862, -0.03536258637905121, 1.3257802724838257]","[0.30864500999450684, -0.13723503053188324, 1.3548814058303833]","[0.25154370069503784, -0.15302763879299164, 1.143166422843933]","[0.17759716510772705, -0.13527549803256989, 0.8919677734375]","[0.21069848537445068, -0.005631508771330118, 0.663593053817749]","[0.06537133455276489, 0.06546501815319061, 1.207310676574707]","[0.015434570610523224, 0.1971435695886612, 0.9677337408065796]","[0.07842749357223511, 0.2835751473903656, 0.7658436298370361]"
"[-0.0, 0.0, 0.7489838600158691]","[-0.09344238042831421, 0.09404432773590088, 0.7595741748809814]","[-0.1382138729095459, 0.1657448559999466, 0.36564207077026367]","[-0.14783203601837158, -0.05927656218409538, 0.0]","[0.09462036192417145, -0.09540414065122604, 0.7373476028442383]","[0.248931884765625, 0.17863644659519196, 0.4375346302986145]","[0.24268798530101776, 0.20621666312217712, 0.10613936185836792]","[0.08543799072504044, 0.007390188984572887, 0.9679620265960693]","[0.18398462235927582, -0.01898958534002304, 1.1929411888122559]","[0.31910181045532227, -0.004639890044927597, 1.3091034889221191]","[0.33808839321136475, -0.10240055620670319, 1.3435789346694946]","[0.26918578147888184, -0.13785326480865479, 1.1432812213897705]","[0.22900830209255219, -0.14460068941116333, 0.8837177753448486]","[0.2954709529876709, -0.013107948936522007, 0.6641983389854431]","[0.0810869112610817, 0.10245029628276825, 1.2054088115692139]","[0.03302660956978798, 0.23286880552768707, 0.9698307514190674]","[0.12529711425304413, 0.3119080066680908, 0.7745529413223267]"
