0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"[-0.0, 0.0, 0.3367427885532379]","[-0.037458863109350204, -0.0069220662117004395, 0.3296670913696289]","[-0.013814209029078484, 0.02682655304670334, 0.2641019821166992]","[0.09445398300886154, 0.047022201120853424, 0.1236111968755722]","[0.004778625443577766, 0.00747404620051384, 0.2989565432071686]","[0.09108465909957886, 0.044541165232658386, 0.15300029516220093]","[0.23667675256729126, 0.051055289804935455, 0.0]","[-0.08107354491949081, -0.0020880894735455513, 0.39296671748161316]","[-0.20846618711948395, -0.05595443397760391, 0.5289274454116821]","[-0.3083198368549347, -0.0777835100889206, 0.676721453666687]","[-0.3207777142524719, -0.08522624522447586, 0.7071152925491333]","[-0.1978420466184616, -0.028008876368403435, 0.5155670642852783]","[-0.1012796014547348, 0.010365717113018036, 0.3723735809326172]","[-0.12053051590919495, 0.014129393734037876, 0.36090490221977234]","[-0.23614123463630676, -0.08571555465459824, 0.5433652400970459]","[-0.1220245361328125, -0.056943558156490326, 0.37763792276382446]","[-0.11609552055597305, -0.035927582532167435, 0.3532344400882721]"
"[-0.0, 0.0, 0.34383222460746765]","[-0.03963189572095871, -0.00695551885291934, 0.33859601616859436]","[-0.01569085754454136, 0.026608973741531372, 0.27214911580085754]","[0.08959557861089706, 0.05012083053588867, 0.13621564209461212]","[0.0018583984347060323, 0.009116542525589466, 0.3083007335662842]","[0.08466851711273193, 0.045953068882226944, 0.1652262657880783]","[0.24122057855129242, 0.051717065274715424, 0.0]","[-0.08468060195446014, -0.003657866967841983, 0.40227168798446655]","[-0.21074755489826202, -0.056134164333343506, 0.5386177897453308]","[-0.30434900522232056, -0.07680714130401611, 0.6810213327407837]","[-0.31535059213638306, -0.08448228240013123, 0.7083905935287476]","[-0.2023998349905014, -0.028882570564746857, 0.525998055934906]","[-0.104721799492836, 0.01031030435115099, 0.3818029761314392]","[-0.0999160185456276, 0.015270380303263664, 0.3499133288860321]","[-0.23596276342868805, -0.08552490174770355, 0.5522204637527466]","[-0.15239764750003815, -0.06872962415218353, 0.4158565402030945]","[-0.06345074623823166, -0.02459556795656681, 0.3108069598674774]"
"[-0.0, 0.0, 0.34298205375671387]","[-0.04016333073377609, -0.006767998915165663, 0.341717392206192]","[-0.007750915363430977, 0.026362208649516106, 0.26768481731414795]","[0.09826568514108658, 0.049674201756715775, 0.12714111804962158]","[-0.0012048339704051614, 0.011251646094024181, 0.31400495767593384]","[0.07418548315763474, 0.04679654911160469, 0.1772351711988449]","[0.23020172119140625, 0.05242329463362694, 0.0]","[-0.08503381162881851, -0.0033261943608522415, 0.40498438477516174]","[-0.20708972215652466, -0.054453033953905106, 0.5388122200965881]","[-0.2964106500148773, -0.07473579049110413, 0.6755472421646118]","[-0.30921801924705505, -0.0830012634396553, 0.7062302231788635]","[-0.20035815238952637, -0.026971710845828056, 0.5270591378211975]","[-0.10224346816539764, 0.01198984868824482, 0.3829086422920227]","[-0.07412390410900116, 0.015684237703680992, 0.3281361758708954]","[-0.23092462122440338, -0.08347263932228088, 0.5516924262046814]","[-0.15767046809196472, -0.06917200982570648, 0.4246983528137207]","[-0.07163134962320328, -0.023046908900141716, 0.32188987731933594]"
"[-0.0, 0.0, 0.3412279784679413]","[-0.041131287813186646, -0.007392651401460171, 0.3401128053665161]","[0.0010261230636388063, 0.02721780724823475, 0.25864699482917786]","[0.11382318288087845, 0.04980902001261711, 0.11096204817295074]","[-0.001840270939283073, 0.010806165635585785, 0.31371015310287476]","[0.06785357743501663, 0.04746418818831444, 0.1836988627910614]","[0.23030926287174225, 0.05254749208688736, 0.0]","[-0.0877622663974762, -0.004544529132544994, 0.4043108820915222]","[-0.21218132972717285, -0.05643704906105995, 0.5401859283447266]","[-0.3025852143764496, -0.07642079144716263, 0.6805251836776733]","[-0.3154134452342987, -0.08455612510442734, 0.7114202976226807]","[-0.20709405839443207, -0.029157783836126328, 0.530584990978241]","[-0.09854980558156967, 0.010228069499135017, 0.3766791522502899]","[-0.07624072581529617, 0.015248686075210571, 0.32770559191703796]","[-0.2343294620513916, -0.08500315994024277, 0.5512920618057251]","[-0.14302563667297363, -0.06223621964454651, 0.40616798400878906]","[-0.07185742259025574, -0.021300150081515312, 0.3200581669807434]"
"[-0.0, 0.0, 0.28834953904151917]","[-0.0405503548681736, -0.010723987594246864, 0.28995048999786377]","[0.018421387299895287, 0.024607034400105476, 0.19969548285007477]","[0.15368762612342834, 0.044472694396972656, 0.0406651496887207]","[-0.006376586854457855, 0.00497761694714427, 0.2669436037540436]","[0.0416250005364418, 0.04106363281607628, 0.1734498143196106]","[0.182543084025383, 0.0483185276389122, 0.0]","[-0.0970461443066597, -0.009246978908777237, 0.3589620292186737]","[-0.23239392042160034, -0.06009659543633461, 0.5019408464431763]","[-0.33414000272750854, -0.08107510954141617, 0.6592198610305786]","[-0.34462597966194153, -0.08716680109500885, 0.6851269006729126]","[-0.219744011759758, -0.0394173301756382, 0.48464256525039673]","[-0.06988561898469925, -0.011448793113231659, 0.304038941860199]","[0.0007280883728526533, -0.02060491032898426, 0.19591112434864044]","[-0.25835877656936646, -0.08381333947181702, 0.5199410319328308]","[-0.163814514875412, -0.059466149657964706, 0.36820685863494873]","[-0.1190032958984375, -0.03009510599076748, 0.31191638112068176]"
"[-0.0, 0.0, 0.26951971650123596]","[-0.033281128853559494, -0.011574254371225834, 0.2654139995574951]","[0.04572564736008644, 0.021813565865159035, 0.15611675381660461]","[0.18893572688102722, 0.04042276740074158, 0.0]","[-0.005107116885483265, 0.0024595102295279503, 0.24809759855270386]","[0.01934320107102394, 0.0354137197136879, 0.18215948343276978]","[0.12770171463489532, 0.047435179352760315, 0.037128299474716187]","[-0.09520025551319122, -0.007931211963295937, 0.3405759334564209]","[-0.23948517441749573, -0.06005311384797096, 0.4892808794975281]","[-0.34714171290397644, -0.0826282948255539, 0.6488990783691406]","[-0.3568599820137024, -0.08798029273748398, 0.6731116771697998]","[-0.21949590742588043, -0.03866007924079895, 0.4668150544166565]","[-0.07317126542329788, -0.010677901096642017, 0.2982344329357147]","[0.002764648525044322, -0.0275539793074131, 0.18738257884979248]","[-0.27041271328926086, -0.08443087339401245, 0.5113378763198853]","[-0.1862766146659851, -0.06281153857707977, 0.3668247163295746]","[-0.17330847680568695, -0.04328921437263489, 0.34153199195861816]"
"[-0.0, 0.0, 0.2880687117576599]","[-0.03490490838885307, -0.00799341406673193, 0.28577563166618347]","[0.05016253516077995, 0.022815877571702003, 0.1665501594543457]","[0.19865484535694122, 0.04069765657186508, 0.0]","[-0.007306823506951332, 0.006118896882981062, 0.2686123549938202]","[0.02077917568385601, 0.03945325314998627, 0.19672435522079468]","[0.10655078291893005, 0.05752209201455116, 0.07676072418689728]","[-0.09001769870519638, -0.005526461638510227, 0.35652029514312744]","[-0.2245783656835556, -0.056928038597106934, 0.49811822175979614]","[-0.3284985423088074, -0.08018066734075546, 0.6507840752601624]","[-0.3368990421295166, -0.08580535650253296, 0.6728962659835815]","[-0.20354077219963074, -0.03483187034726143, 0.47389358282089233]","[-0.0669386014342308, -0.008229700848460197, 0.3078312277793884]","[-0.006107238586992025, -0.01905466802418232, 0.21164023876190186]","[-0.2569946348667145, -0.08216719329357147, 0.522324800491333]","[-0.16903552412986755, -0.05842314288020134, 0.374574214220047]","[-0.15491442382335663, -0.03984595835208893, 0.345960795879364]"
"[-0.0, 0.0, 0.2690150737762451]","[-0.03648309409618378, -0.00656820647418499, 0.2634594142436981]","[0.03286224231123924, 0.027787942439317703, 0.16122247278690338]","[0.16136841475963593, 0.04264034330844879, 0.0059854090213775635]","[-0.0007199096726253629, 0.007193213794380426, 0.23888909816741943]","[0.05768316611647606, 0.04485894367098808, 0.13222180306911469]","[0.17036236822605133, 0.05825711041688919, 0.0]","[-0.08917370438575745, -0.006108633242547512, 0.3308483958244324]","[-0.2278832346200943, -0.05872160196304321, 0.47467681765556335]","[-0.33784180879592896, -0.08197345584630966, 0.6392078399658203]","[-0.3471711277961731, -0.08784785121679306, 0.6632912158966064]","[-0.20470257103443146, -0.03634503856301308, 0.4494895040988922]","[-0.06841308623552322, -0.0071162208914756775, 0.27829235792160034]","[-0.03592272847890854, -0.004942995961755514, 0.21907000243663788]","[-0.2628863453865051, -0.08407711237668991, 0.500560998916626]","[-0.18041834235191345, -0.06142721697688103, 0.36259087920188904]","[-0.08320251107215881, -0.020997561514377594, 0.2556644380092621]"
"[-0.0, 0.0, 0.3183649778366089]","[-0.035941530019044876, -0.00682227686047554, 0.31219756603240967]","[-0.018674682825803757, 0.025210320949554443, 0.2528010606765747]","[0.08686663955450058, 0.04551491513848305, 0.1191270649433136]","[0.006291137542575598, 0.006488259416073561, 0.28059887886047363]","[0.0789879783987999, 0.04355449602007866, 0.15306566655635834]","[0.22104290127754211, 0.05189894884824753, 0.0]","[-0.08387695252895355, -0.004484223667532206, 0.37784019112586975]","[-0.21832799911499023, -0.057702597230672836, 0.5210111737251282]","[-0.31794604659080505, -0.07925888150930405, 0.6686699986457825]","[-0.3308046758174896, -0.086277075111866, 0.6995317935943604]","[-0.20330847799777985, -0.03194058686494827, 0.5048256516456604]","[-0.09775488078594208, 0.004377835895866156, 0.3526168763637543]","[-0.06851226836442947, 0.009104019030928612, 0.29620298743247986]","[-0.24796484410762787, -0.08554492890834808, 0.5387468934059143]","[-0.16282910108566284, -0.06327321380376816, 0.3989046812057495]","[-0.07056073099374771, -0.021730583161115646, 0.2938005328178406]"
"[-0.0, 0.0, 0.3341827392578125]","[-0.039103273302316666, -0.006656695157289505, 0.32745441794395447]","[-0.022323302924633026, 0.0260914359241724, 0.26888129115104675]","[0.06016528233885765, 0.054476942867040634, 0.1697520762681961]","[0.007770385593175888, 0.006792152766138315, 0.2872512936592102]","[0.08141253888607025, 0.044591162353754044, 0.16097082197666168]","[0.22856402397155762, 0.0493258535861969, 0.0]","[-0.08638513088226318, -0.005745092406868935, 0.3909534811973572]","[-0.22018706798553467, -0.057866420596838, 0.5339071750640869]","[-0.31742554903030396, -0.0787566676735878, 0.6847367286682129]","[-0.3298787772655487, -0.08588908612728119, 0.7151228189468384]","[-0.20934143662452698, -0.033951111137866974, 0.5197521448135376]","[-0.10589886456727982, 0.004245326854288578, 0.37066271901130676]","[-0.07302740216255188, 0.009301595389842987, 0.3119680881500244]","[-0.24429790675640106, -0.0838463306427002, 0.5487732291221619]","[-0.16616509854793549, -0.06585128605365753, 0.41588395833969116]","[-0.07695861905813217, -0.024363521486520767, 0.3129415214061737]"
"[-0.0, 0.0, 0.3223643898963928]","[-0.035758666694164276, -0.004911616910248995, 0.3065345585346222]","[-0.012192443944513798, 0.029943598434329033, 0.24865460395812988]","[0.05610101297497749, 0.05863415449857712, 0.16942335665225983]","[0.006831421051174402, 0.005134736653417349, 0.2700912654399872]","[0.07812756299972534, 0.045364685356616974, 0.1537417769432068]","[0.21454381942749023, 0.046832650899887085, 0.0]","[-0.09304828196763992, -0.008842193521559238, 0.3750310242176056]","[-0.23895543813705444, -0.06181471422314644, 0.5271676778793335]","[-0.34399768710136414, -0.0828525573015213, 0.7002650499343872]","[-0.3537878394126892, -0.0887422040104866, 0.7266308665275574]","[-0.2313893437385559, -0.043144676834344864, 0.5147541761398315]","[-0.0808790922164917, -0.006838006433099508, 0.32645753026008606]","[-0.07375536859035492, 0.002629582304507494, 0.2934354841709137]","[-0.25840818881988525, -0.08475321531295776, 0.5395181775093079]","[-0.17339111864566803, -0.06299372762441635, 0.40075019001960754]","[-0.07066766172647476, -0.02084481529891491, 0.2892049551010132]"
"[-0.0, 0.0, 0.30000224709510803]","[-0.03866082802414894, -0.0036498212721198797, 0.29036247730255127]","[-0.008351501077413559, 0.03064080886542797, 0.226505845785141]","[0.08342199772596359, 0.05441795289516449, 0.12038329243659973]","[0.006777831818908453, 0.005563283804804087, 0.25379905104637146]","[0.06101416051387787, 0.04400499910116196, 0.15385711193084717]","[0.19224920868873596, 0.047477107495069504, 0.0]","[-0.08960522711277008, -0.0073133595287799835, 0.3529728353023529]","[-0.2307683676481247, -0.060877542942762375, 0.49679848551750183]","[-0.3457050919532776, -0.08300527930259705, 0.6747168302536011]","[-0.35726475715637207, -0.08903409540653229, 0.7039918899536133]","[-0.21916259825229645, -0.04323023185133934, 0.48265883326530457]","[-0.06592462211847305, -0.01169094443321228, 0.294482946395874]","[-0.042278748005628586, -0.005124356597661972, 0.2461843192577362]","[-0.25495055317878723, -0.08357435464859009, 0.5117567181587219]","[-0.15371160209178925, -0.051829125732183456, 0.36230307817459106]","[-0.07055145502090454, -0.01607762835919857, 0.27202945947647095]"
"[-0.0, 0.0, 0.2721583843231201]","[-0.03313824534416199, -0.009221300482749939, 0.2660650610923767]","[0.011758849956095219, 0.024409832432866096, 0.18958190083503723]","[0.11549639701843262, 0.04570620507001877, 0.06806989014148712]","[0.012672058306634426, 0.0010662614367902279, 0.2320399135351181]","[0.03869757056236267, 0.0366218276321888, 0.16039209067821503]","[0.18051788210868835, 0.0477927029132843, 0.0]","[-0.08950024098157883, -0.006402422674000263, 0.33591175079345703]","[-0.23964568972587585, -0.059857942163944244, 0.4904237687587738]","[-0.3448444902896881, -0.08068086206912994, 0.6457734107971191]","[-0.35740429162979126, -0.08671446889638901, 0.675896167755127]","[-0.22486408054828644, -0.03884822130203247, 0.4771057665348053]","[-0.10273968428373337, -0.004909399896860123, 0.31119221448898315]","[-0.0834866315126419, 0.0013030932750552893, 0.26351794600486755]","[-0.2664409279823303, -0.08382822573184967, 0.5054624676704407]","[-0.15968237817287445, -0.0539170540869236, 0.34433603286743164]","[-0.09258929640054703, -0.02166731283068657, 0.26838648319244385]"
"[-0.0, 0.0, 0.26583343744277954]","[-0.033378966152668, -0.008723078295588493, 0.26434215903282166]","[0.02326544187963009, 0.02364020235836506, 0.17227734625339508]","[0.14221538603305817, 0.04385899007320404, 0.030324339866638184]","[0.006134277209639549, 0.003893213579431176, 0.24180340766906738]","[0.05304626375436783, 0.03788048028945923, 0.1401549130678177]","[0.17081201076507568, 0.0522955060005188, 0.0]","[-0.08704821765422821, -0.0034093984868377447, 0.33470720052719116]","[-0.2277936339378357, -0.056748367846012115, 0.4817708134651184]","[-0.3259198069572449, -0.07707572728395462, 0.6225945353507996]","[-0.33786341547966003, -0.08422484248876572, 0.6505609750747681]","[-0.21044598519802094, -0.031690116971731186, 0.46577420830726624]","[-0.1023867204785347, 0.0017459889641031623, 0.3110252618789673]","[-0.07409484684467316, 0.005232116673141718, 0.2547242343425751]","[-0.25820446014404297, -0.08272494375705719, 0.4998357892036438]","[-0.16581830382347107, -0.058028433471918106, 0.35021060705184937]","[-0.11645001173019409, -0.028211064636707306, 0.2864506244659424]"
"[-0.0, 0.0, 0.29765570163726807]","[-0.03529614210128784, -0.008878800086677074, 0.2936307489871979]","[0.006257202010601759, 0.025248121470212936, 0.2171182930469513]","[0.12565918266773224, 0.0443066731095314, 0.07045434415340424]","[0.007143920753151178, 0.004755293019115925, 0.2650330662727356]","[0.05817248672246933, 0.04128469154238701, 0.16196899116039276]","[0.2095673829317093, 0.05251850187778473, 0.0]","[-0.08867321908473969, -0.004859483800828457, 0.36303508281707764]","[-0.23203930258750916, -0.058957796543836594, 0.5136076807975769]","[-0.326237291097641, -0.07878962904214859, 0.6502475738525391]","[-0.33854955434799194, -0.08562571555376053, 0.6793043613433838]","[-0.21721789240837097, -0.033738404512405396, 0.49944138526916504]","[-0.09882458299398422, 0.0012426180765032768, 0.3358410596847534]","[-0.07073010504245758, 0.007504324894398451, 0.27809596061706543]","[-0.2610405385494232, -0.08551221340894699, 0.5298503041267395]","[-0.16145581007003784, -0.05964311584830284, 0.37481367588043213]","[-0.08265087753534317, -0.021511150524020195, 0.28494471311569214]"
"[-0.0, 0.0, 0.32348328828811646]","[-0.03847851604223251, -0.008854331448674202, 0.31794318556785583]","[-0.021535400301218033, 0.02496837079524994, 0.2584954500198364]","[0.08694946020841599, 0.04662695154547691, 0.12563782930374146]","[0.005227539222687483, 0.003304813988506794, 0.29208898544311523]","[0.0790017694234848, 0.04141306132078171, 0.15909437835216522]","[0.23285485804080963, 0.04903048276901245, 0.0]","[-0.08787298947572708, -0.004282783251255751, 0.3851510286331177]","[-0.22348712384700775, -0.058643851429224014, 0.5282884836196899]","[-0.3161785900592804, -0.07852890342473984, 0.6641727685928345]","[-0.3283073604106903, -0.08585399389266968, 0.6929992437362671]","[-0.2189578264951706, -0.032183364033699036, 0.5246651768684387]","[-0.12280944734811783, 0.006739700213074684, 0.3762771189212799]","[-0.13448315858840942, 0.010232857428491116, 0.36122649908065796]","[-0.2433737814426422, -0.08687298744916916, 0.5336580276489258]","[-0.14618365466594696, -0.06017313525080681, 0.3852085769176483]","[-0.06039044260978699, -0.020861558616161346, 0.2865188717842102]"
"[-0.0, 0.0, 0.34699901938438416]","[-0.041038330644369125, -0.011550473049283028, 0.34277698397636414]","[-0.023943237960338593, 0.024052973836660385, 0.2817753255367279]","[0.05887207016348839, 0.053790219128131866, 0.18081353604793549]","[0.004929565358906984, 0.002583650406450033, 0.3151001036167145]","[0.09514325112104416, 0.041020724922418594, 0.1634821742773056]","[0.259511798620224, 0.04732196778059006, 0.0]","[-0.09085021913051605, -0.005826207809150219, 0.41079914569854736]","[-0.22419054806232452, -0.060326315462589264, 0.554186224937439]","[-0.3102608621120453, -0.07921238988637924, 0.6831578612327576]","[-0.31994688510894775, -0.08650628477334976, 0.7078195810317993]","[-0.2259110063314438, -0.032950643450021744, 0.5569761395454407]","[-0.1556679755449295, 0.00810000766068697, 0.43185487389564514]","[-0.24394109845161438, -0.00677063362672925, 0.5006294846534729]","[-0.2374444603919983, -0.08885469287633896, 0.552618145942688]","[-0.1407739818096161, -0.06562365591526031, 0.4038892090320587]","[-0.05494165048003197, -0.024479329586029053, 0.3032429814338684]"
