0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"[-0.0, 0.0, 0.24718445539474487]","[-0.05571539327502251, 0.01360594667494297, 0.2542860209941864]","[0.015331115573644638, 0.030577829107642174, 0.1472962200641632]","[0.07805987447500229, 0.04761141166090965, 0.06358648836612701]","[-0.012958984822034836, 0.01688196510076523, 0.21734198927879333]","[0.0694119855761528, 0.03681924566626549, 0.08088843524456024]","[0.13044220209121704, 0.04846171289682388, 0.0]","[-0.05790753290057182, 0.011739776469767094, 0.28045710921287537]","[-0.11907611042261124, -0.02207377552986145, 0.3583763539791107]","[-0.1703823208808899, -0.039681680500507355, 0.44052255153656006]","[-0.17204394936561584, -0.045384570956230164, 0.46193042397499084]","[-0.06158142164349556, -0.014011576771736145, 0.30717700719833374]","[-0.029046325013041496, -0.019490256905555725, 0.2030804455280304]","[0.012919860891997814, -0.022507041692733765, 0.13174530863761902]","[-0.20953424274921417, -0.04485229775309563, 0.41987699270248413]","[-0.17634356021881104, -0.01968936249613762, 0.34435781836509705]","[-0.11726318299770355, -0.011527994647622108, 0.26685017347335815]"
"[-0.0, 0.0, 0.23927392065525055]","[-0.05153338611125946, 0.01335261482745409, 0.24354510009288788]","[0.014969849027693272, 0.03060600720345974, 0.14047729969024658]","[0.0724424421787262, 0.047517187893390656, 0.06319786608219147]","[-0.012555908411741257, 0.016169609501957893, 0.20933061838150024]","[0.06402429193258286, 0.0367935411632061, 0.08031964302062988]","[0.12430346757173538, 0.04842522740364075, 0.0]","[-0.05716882273554802, 0.011195918545126915, 0.2725776433944702]","[-0.12117388844490051, -0.02311970479786396, 0.352829247713089]","[-0.17722754180431366, -0.04206005111336708, 0.4397697150707245]","[-0.17893658578395844, -0.04740868881344795, 0.4622122645378113]","[-0.062497496604919434, -0.01490567997097969, 0.30049341917037964]","[-0.029998168349266052, -0.020316459238529205, 0.1952020823955536]","[0.013238098472356796, -0.024016255512833595, 0.12391802668571472]","[-0.21218286454677582, -0.046088553965091705, 0.4160674810409546]","[-0.17582544684410095, -0.02055319957435131, 0.33600130677223206]","[-0.11982684582471848, -0.013375489972531796, 0.2616212069988251]"
"[-0.0, 0.0, 0.23921515047550201]","[-0.05583715811371803, 0.01398326363414526, 0.24655506014823914]","[0.016726989299058914, 0.030219554901123047, 0.13845770061016083]","[0.07480975240468979, 0.047778960317373276, 0.06134752929210663]","[-0.011410522274672985, 0.016011176630854607, 0.20783710479736328]","[0.06689117103815079, 0.035879503935575485, 0.0769132673740387]","[0.12441955506801605, 0.047979965806007385, 0.0]","[-0.05754614248871803, 0.011608997359871864, 0.27205878496170044]","[-0.11957421898841858, -0.02221911959350109, 0.35048216581344604]","[-0.17045043408870697, -0.03972065448760986, 0.43349283933639526]","[-0.1697465181350708, -0.045165833085775375, 0.45341408252716064]","[-0.05851757898926735, -0.014865243807435036, 0.29692333936691284]","[-0.031242676079273224, -0.019573383033275604, 0.19648730754852295]","[0.016665222123265266, -0.024593474343419075, 0.11911029368638992]","[-0.21394775807857513, -0.04486303776502609, 0.41567927598953247]","[-0.17003051936626434, -0.018015623092651367, 0.32850492000579834]","[-0.11631543189287186, -0.009932249784469604, 0.2576129734516144]"
"[-0.0, 0.0, 0.24316051602363586]","[-0.06169116124510765, 0.014659193344414234, 0.25446489453315735]","[0.017553649842739105, 0.030594034120440483, 0.14069823920726776]","[0.08110564947128296, 0.04911734536290169, 0.05910131335258484]","[-0.012647705152630806, 0.016495810821652412, 0.21262523531913757]","[0.07146472483873367, 0.03386499732732773, 0.07343322038650513]","[0.12428808957338333, 0.04672406241297722, 0.0]","[-0.05810730159282684, 0.01223246194422245, 0.2755768895149231]","[-0.11437664926052094, -0.020541610196232796, 0.3502211272716522]","[-0.15247869491577148, -0.03485720604658127, 0.42325276136398315]","[-0.15264159440994263, -0.04144261032342911, 0.44539719820022583]","[-0.05275494232773781, -0.014303585514426231, 0.2961103320121765]","[-0.028450805693864822, -0.019354281947016716, 0.1983112096786499]","[0.027492493391036987, -0.024364875629544258, 0.1078275740146637]","[-0.21213024854660034, -0.043101295828819275, 0.4166569411754608]","[-0.16153497993946075, -0.014812891371548176, 0.32261693477630615]","[-0.10500244051218033, -0.005897092632949352, 0.2509733736515045]"
"[-0.0, 0.0, 0.2328043282032013]","[-0.06304071098566055, 0.015175458043813705, 0.2449491024017334]","[0.017844483256340027, 0.031065702438354492, 0.12942273914813995]","[0.08440765738487244, 0.04852844402194023, 0.04454450309276581]","[-0.01168847642838955, 0.01670929603278637, 0.20090143382549286]","[0.07262701541185379, 0.03327007591724396, 0.060401007533073425]","[0.11199511587619781, 0.04681815579533577, 0.0]","[-0.05752209573984146, 0.012629494071006775, 0.26454970240592957]","[-0.11241491883993149, -0.019488411024212837, 0.338789701461792]","[-0.14659875631332397, -0.032440681010484695, 0.4086616337299347]","[-0.14595337212085724, -0.03933754190802574, 0.42915070056915283]","[-0.052963197231292725, -0.013797091320157051, 0.28613054752349854]","[-0.028386108577251434, -0.01892753690481186, 0.18731848895549774]","[0.03165210038423538, -0.025122156366705894, 0.09189984202384949]","[-0.20839720964431763, -0.04161830246448517, 0.40325820446014404]","[-0.16397345066070557, -0.014280645176768303, 0.3145405948162079]","[-0.10299505293369293, -0.005180777050554752, 0.2385929673910141]"
"[-0.0, 0.0, 0.21365533769130707]","[-0.06537872552871704, 0.015072589740157127, 0.22709143161773682]","[0.017764586955308914, 0.030739180743694305, 0.10827179253101349]","[0.07981561124324799, 0.04685935378074646, 0.02636072039604187]","[-0.01385205052793026, 0.016354888677597046, 0.1829259693622589]","[0.06800048798322678, 0.034297842532396317, 0.0444168746471405]","[0.0954420194029808, 0.04930252209305763, 0.0]","[-0.056608766317367554, 0.011853416450321674, 0.24458734691143036]","[-0.10531652718782425, -0.020290764048695564, 0.3153519928455353]","[-0.14415502548217773, -0.03352787718176842, 0.3889957368373871]","[-0.13981299102306366, -0.04009673744440079, 0.40750575065612793]","[-0.04500579833984375, -0.016798589378595352, 0.26066356897354126]","[-0.01853802427649498, -0.026487939059734344, 0.1567898541688919]","[0.04854736477136612, -0.028990579769015312, 0.050220951437950134]","[-0.2044195532798767, -0.04214843735098839, 0.3830321729183197]","[-0.16491888463497162, -0.013224915601313114, 0.2975079119205475]","[-0.12063030898571014, -0.008592987433075905, 0.23493127524852753]"
"[-0.0, 0.0, 0.19632616639137268]","[-0.06207507476210594, 0.013266708701848984, 0.2079973667860031]","[0.012041565030813217, 0.029250381514430046, 0.09887383133172989]","[0.061495911329984665, 0.04435837268829346, 0.03069920837879181]","[-0.013408691622316837, 0.013543153181672096, 0.166081041097641]","[0.0594702772796154, 0.03289550170302391, 0.04050731658935547]","[0.08579016476869583, 0.048311684280633926, 0.0]","[-0.054939329624176025, 0.01029414962977171, 0.2274567186832428]","[-0.10455907881259918, -0.02215120755136013, 0.2985275387763977]","[-0.1441553384065628, -0.03548496961593628, 0.37639957666397095]","[-0.14190198481082916, -0.041104450821876526, 0.3941214680671692]","[-0.03964922949671745, -0.02041739784181118, 0.24053460359573364]","[-0.01032238733023405, -0.03575751185417175, 0.13157066702842712]","[0.05209271237254143, -0.03581123799085617, 0.03420628607273102]","[-0.20835217833518982, -0.04365847632288933, 0.37125760316848755]","[-0.17974725365638733, -0.015179643407464027, 0.29591071605682373]","[-0.1424000859260559, -0.011993725784122944, 0.23729753494262695]"
"[-0.0, 0.0, 0.1825324147939682]","[-0.05944586172699928, 0.012155110947787762, 0.1909235268831253]","[0.01715661585330963, 0.02721182443201542, 0.08004962652921677]","[0.060302551835775375, 0.04007868096232414, 0.01644928753376007]","[-0.015895752236247063, 0.012918077409267426, 0.15371277928352356]","[0.05232837051153183, 0.0334102027118206, 0.03719434142112732]","[0.07750494033098221, 0.04950781911611557, 0.0]","[-0.054736021906137466, 0.009683545678853989, 0.21253827214241028]","[-0.1040419340133667, -0.02264324203133583, 0.2830374538898468]","[-0.1407235711812973, -0.034920357167720795, 0.35925960540771484]","[-0.13528838753700256, -0.039832647889852524, 0.3745778203010559]","[-0.04005224630236626, -0.021487444639205933, 0.2260083705186844]","[0.0008442382677458227, -0.041461966931819916, 0.10594537854194641]","[0.05592767149209976, -0.03922376409173012, 0.021014466881752014]","[-0.20680426061153412, -0.04394780099391937, 0.353667676448822]","[-0.20148736238479614, -0.018328700214624405, 0.30242443084716797]","[-0.14727404713630676, -0.013143211603164673, 0.22538506984710693]"
"[-0.0, 0.0, 0.17580066621303558]","[-0.06134619191288948, 0.010609482415020466, 0.18430720269680023]","[0.02286987379193306, 0.025131432339549065, 0.06782251596450806]","[0.06711059808731079, 0.03517952188849449, 0.0]","[-0.016670776531100273, 0.011605862528085709, 0.14653900265693665]","[0.045209165662527084, 0.03407943621277809, 0.04056946933269501]","[0.06414404511451721, 0.05166400969028473, 0.0112152099609375]","[-0.05673760920763016, 0.008378802798688412, 0.20572926104068756]","[-0.10814239829778671, -0.02533174306154251, 0.27673619985580444]","[-0.13113152980804443, -0.03532131016254425, 0.34356892108917236]","[-0.13474352657794952, -0.040780503302812576, 0.366005003452301]","[-0.03747442737221718, -0.023754529654979706, 0.21479956805706024]","[0.017905090004205704, -0.045591093599796295, 0.07808484882116318]","[0.05705578625202179, -0.04141833260655403, 0.018099501729011536]","[-0.21620263159275055, -0.04723760113120079, 0.35339248180389404]","[-0.2285715937614441, -0.024405842646956444, 0.32306188344955444]","[-0.1564306616783142, -0.014877751469612122, 0.2242995649576187]"
"[-0.0, 0.0, 0.18121105432510376]","[-0.05988147109746933, 0.009526487439870834, 0.18886595964431763]","[0.019055970013141632, 0.024394575506448746, 0.07852660864591599]","[0.07201379537582397, 0.03198213875293732, 0.0]","[-0.015286498703062534, 0.009909367188811302, 0.15169408917427063]","[0.035272032022476196, 0.0339803621172905, 0.05859966576099396]","[0.056078553199768066, 0.05211273953318596, 0.027755364775657654]","[-0.05529376119375229, 0.00777469715103507, 0.21106895804405212]","[-0.10701550543308258, -0.026112034916877747, 0.28221648931503296]","[-0.12952032685279846, -0.03571036830544472, 0.35048627853393555]","[-0.13303858041763306, -0.0407492034137249, 0.37279075384140015]","[-0.0364534929394722, -0.02445932663977146, 0.2211257815361023]","[0.025909362360835075, -0.047648120671510696, 0.07728148996829987]","[0.05937719717621803, -0.04299290478229523, 0.025435596704483032]","[-0.2151714414358139, -0.04830261319875717, 0.35759592056274414]","[-0.23674951493740082, -0.026582768186926842, 0.3369647264480591]","[-0.15926183760166168, -0.01531183160841465, 0.23189184069633484]"
"[-0.0, 0.0, 0.18543840944766998]","[-0.057490114122629166, 0.008831129409372807, 0.1937600076198578]","[0.02561608888208866, 0.024341749027371407, 0.07896093279123306]","[0.08129674941301346, 0.033349260687828064, 0.0]","[-0.01294244360178709, 0.008642599917948246, 0.1576913446187973]","[0.032420530915260315, 0.033464182168245316, 0.06919054687023163]","[0.0437396839261055, 0.05428916960954666, 0.048311084508895874]","[-0.05379345640540123, 0.007895305752754211, 0.21769560873508453]","[-0.1073746308684349, -0.02564825490117073, 0.29093292355537415]","[-0.14414820075035095, -0.038234006613492966, 0.36843758821487427]","[-0.14938177168369293, -0.04241576045751572, 0.39193347096443176]","[-0.037857238203287125, -0.024045241996645927, 0.23236101865768433]","[0.014300109818577766, -0.0479404516518116, 0.10066399723291397]","[0.07332073897123337, -0.0395662859082222, 0.012033805251121521]","[-0.21612365543842316, -0.0482652522623539, 0.36416953802108765]","[-0.20934118330478668, -0.020891433581709862, 0.310305118560791]","[-0.1299692988395691, -0.011954551562666893, 0.2122485339641571]"
"[-0.0, 0.0, 0.17359741032123566]","[-0.056543152779340744, 0.00991831999272108, 0.18251964449882507]","[0.020635437220335007, 0.02669510617852211, 0.07271990925073624]","[0.0692843645811081, 0.037815388292074203, 0.004425227642059326]","[-0.01022314466536045, 0.008213838562369347, 0.14361333847045898]","[0.046984925866127014, 0.03125040978193283, 0.04013463854789734]","[0.03990722820162773, 0.05264001712203026, 0.038130983710289]","[-0.055974122136831284, 0.007961325347423553, 0.2075776904821396]","[-0.11685668677091599, -0.026512455195188522, 0.2855556011199951]","[-0.16908293962478638, -0.04457555711269379, 0.37309110164642334]","[-0.1704789400100708, -0.04760438948869705, 0.39198362827301025]","[-0.04711608961224556, -0.02397170290350914, 0.22817760705947876]","[0.00391918933019042, -0.04725714772939682, 0.09836450219154358]","[0.06903546303510666, -0.039301980286836624, 0.0]","[-0.2192070335149765, -0.04781755432486534, 0.3560980260372162]","[-0.18122199177742004, -0.017557207494974136, 0.2711849808692932]","[-0.1367182582616806, -0.013455611653625965, 0.2084733247756958]"
