0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"[-0.0, 0.0, 0.27426618337631226]","[-0.038324400782585144, -0.003360538277775049, 0.2681739032268524]","[0.04199310392141342, 0.03126012906432152, 0.15644727647304535]","[0.15939971804618835, 0.04664352163672447, 0.020414799451828003]","[0.0009087524376809597, 0.007974156178534031, 0.24207410216331482]","[0.05856384336948395, 0.046199899166822433, 0.13624458014965057]","[0.1745123267173767, 0.05452286824584007, 0.0]","[-0.08100567758083344, -0.0013841096078976989, 0.3271375894546509]","[-0.21236853301525116, -0.05484321340918541, 0.45707765221595764]","[-0.3291384279727936, -0.07868345081806183, 0.6147661209106445]","[-0.3389492332935333, -0.08503959327936172, 0.6389985084533691]","[-0.18339087069034576, -0.03192848339676857, 0.4289094805717468]","[-0.057351257652044296, -0.007943710312247276, 0.2691041827201843]","[-0.03810040280222893, -0.0002542660804465413, 0.22172467410564423]","[-0.25513896346092224, -0.08038292080163956, 0.4864630699157715]","[-0.15942028164863586, -0.04945401847362518, 0.3446578085422516]","[-0.07547997683286667, -0.015986360609531403, 0.2530212998390198]"
"[-0.0, 0.0, 0.27972009778022766]","[-0.03751440346240997, -0.0036487625911831856, 0.27199432253837585]","[0.041081421077251434, 0.031976766884326935, 0.16172218322753906]","[0.16030286252498627, 0.047050245106220245, 0.023383796215057373]","[0.0015083617763593793, 0.008019314147531986, 0.2453833669424057]","[0.060490112751722336, 0.046869758516550064, 0.13817065954208374]","[0.17914234101772308, 0.054928094148635864, 0.0]","[-0.08178149163722992, -0.0024009470362216234, 0.33224835991859436]","[-0.21505774557590485, -0.056370604783296585, 0.4648345410823822]","[-0.3336900770664215, -0.08047401160001755, 0.629112958908081]","[-0.344511479139328, -0.08698747307062149, 0.6555827856063843]","[-0.18566320836544037, -0.033152587711811066, 0.4359554052352905]","[-0.05797820910811424, -0.007588732987642288, 0.2739101052284241]","[-0.0449138805270195, 0.001456374884583056, 0.23340746760368347]","[-0.2575764060020447, -0.08201731741428375, 0.49474450945854187]","[-0.15948016941547394, -0.05068771541118622, 0.3494283854961395]","[-0.07427777349948883, -0.016390925273299217, 0.2563726305961609]"
"[-0.0, 0.0, 0.282692015171051]","[-0.03808654844760895, -0.003517910372465849, 0.27527543902397156]","[0.03883221372961998, 0.032762158662080765, 0.16698773205280304]","[0.15720978379249573, 0.04728192836046219, 0.028469055891036987]","[0.0008988037006929517, 0.00783484522253275, 0.24943584203720093]","[0.06438782066106796, 0.04724084958434105, 0.1369761973619461]","[0.18301866948604584, 0.05482794716954231, 0.0]","[-0.08202788978815079, -0.002518752124160528, 0.33510392904281616]","[-0.21413610875606537, -0.05645408108830452, 0.46629080176353455]","[-0.33434242010116577, -0.08074706792831421, 0.6330745220184326]","[-0.343870609998703, -0.0870404914021492, 0.6571521162986755]","[-0.18507134914398193, -0.03345438465476036, 0.4374988377094269]","[-0.05534081906080246, -0.008479610085487366, 0.2736515998840332]","[-0.046445801854133606, 0.00214605825021863, 0.2374749779701233]","[-0.25661036372184753, -0.08196400851011276, 0.49621260166168213]","[-0.1548643857240677, -0.0492837131023407, 0.34816664457321167]","[-0.0711807832121849, -0.0157160684466362, 0.2566707730293274]"
"[-0.0, 0.0, 0.2865963876247406]","[-0.038780760020017624, -0.003950426355004311, 0.2798391282558441]","[0.03487127646803856, 0.03349637612700462, 0.174703449010849]","[0.1533791571855545, 0.047619424760341644, 0.03434059023857117]","[0.0021506957709789276, 0.00753617100417614, 0.2523532211780548]","[0.06717462092638016, 0.04751576855778694, 0.13741633296012878]","[0.1872003823518753, 0.05504199489951134, 0.0]","[-0.08218584954738617, -0.003004735568538308, 0.33937868475914]","[-0.21441295742988586, -0.05724526196718216, 0.47131866216659546]","[-0.336557000875473, -0.0817013531923294, 0.6431722640991211]","[-0.3454836308956146, -0.08791563659906387, 0.6661995649337769]","[-0.18654827773571014, -0.034137334674596786, 0.44335460662841797]","[-0.05522576719522476, -0.00863437820225954, 0.2771734893321991]","[-0.048405274748802185, 0.0023733731359243393, 0.2434203028678894]","[-0.25608545541763306, -0.08294340968132019, 0.5004821419715881]","[-0.15785107016563416, -0.05101342499256134, 0.3553091287612915]","[-0.06966040283441544, -0.016161344945430756, 0.2590700089931488]"
"[-0.0, 0.0, 0.2980562746524811]","[-0.03901489078998566, -0.0036311752628535032, 0.29117944836616516]","[0.01462994422763586, 0.034399181604385376, 0.20594891905784607]","[0.11942828446626663, 0.04825390875339508, 0.07277032732963562]","[0.001957336440682411, 0.006841884460300207, 0.26361083984375]","[0.07296636700630188, 0.04759962856769562, 0.14157861471176147]","[0.2014802247285843, 0.053874991834163666, 0.0]","[-0.0844063088297844, -0.004130396991968155, 0.3517029285430908]","[-0.21703626215457916, -0.05809599906206131, 0.48555657267570496]","[-0.3366691768169403, -0.08234608173370361, 0.6574503183364868]","[-0.34712550044059753, -0.08856089413166046, 0.6836360692977905]","[-0.1904332935810089, -0.036092571914196014, 0.45704516768455505]","[-0.05123303085565567, -0.01160675659775734, 0.2813628613948822]","[-0.04018096998333931, 0.0005102607537992299, 0.2440379559993744]","[-0.2575080692768097, -0.08399462699890137, 0.5151251554489136]","[-0.16708435118198395, -0.056007567793130875, 0.37588250637054443]","[-0.06806402653455734, -0.01685466058552265, 0.26895061135292053]"
"[-0.0, 0.0, 0.31911852955818176]","[-0.041300904005765915, -0.0033151675015687943, 0.3129501938819885]","[-0.0030009765177965164, 0.03416105732321739, 0.239653080701828]","[0.10367639362812042, 0.05112024024128914, 0.10226915776729584]","[0.0009912109235301614, 0.008298537693917751, 0.28350159525871277]","[0.08338989317417145, 0.0491403229534626, 0.14609070122241974]","[0.21871136128902435, 0.054256096482276917, 0.0]","[-0.0855964943766594, -0.004691567737609148, 0.37320178747177124]","[-0.21493194997310638, -0.058226242661476135, 0.507371187210083]","[-0.328640878200531, -0.08226588368415833, 0.675945520401001]","[-0.3360674977302551, -0.08846411108970642, 0.6966264247894287]","[-0.19370447099208832, -0.03527602180838585, 0.48229119181632996]","[-0.05124688893556595, -0.00855499878525734, 0.3014569580554962]","[-0.043011169880628586, 0.0038138823583722115, 0.2672334611415863]","[-0.2512868642807007, -0.08496539294719696, 0.5336259007453918]","[-0.16507062315940857, -0.059956684708595276, 0.3970736861228943]","[-0.06434863060712814, -0.016971398144960403, 0.28607118129730225]"
"[-0.0, 0.0, 0.3309975564479828]","[-0.04157385230064392, -0.003638659603893757, 0.3238297700881958]","[-0.009716003201901913, 0.03298969939351082, 0.2549844980239868]","[0.098052978515625, 0.05356721580028534, 0.11844183504581451]","[-0.0007975464104674757, 0.009079367853701115, 0.29544439911842346]","[0.09143304079771042, 0.04891654849052429, 0.14657311141490936]","[0.22922204434871674, 0.0537150502204895, 0.0]","[-0.08756933361291885, -0.004832855425775051, 0.38576921820640564]","[-0.21659448742866516, -0.0576254203915596, 0.5211704969406128]","[-0.3214099109172821, -0.08087948709726334, 0.678712010383606]","[-0.33098840713500977, -0.08757626265287399, 0.7035708427429199]","[-0.1986272633075714, -0.034157782793045044, 0.4977237582206726]","[-0.05751458555459976, -0.005008114036172628, 0.319206178188324]","[-0.04086120426654816, 0.004501675255596638, 0.2754577100276947]","[-0.2498520463705063, -0.08479774743318558, 0.5454475283622742]","[-0.17439226806163788, -0.06514107435941696, 0.418630987405777]","[-0.0708218365907669, -0.018720798194408417, 0.3028857409954071]"
"[-0.0, 0.0, 0.34788012504577637]","[-0.04551568627357483, -0.006714085582643747, 0.34795722365379333]","[0.010648864321410656, 0.031738851219415665, 0.2555689811706543]","[0.1287916898727417, 0.05471265688538551, 0.1050637811422348]","[-0.00584179675206542, 0.011691988445818424, 0.32410547137260437]","[0.09949231147766113, 0.04897162690758705, 0.15618139505386353]","[0.240218386054039, 0.05448945611715317, 0.0]","[-0.09124872088432312, -0.005471730139106512, 0.41147351264953613]","[-0.21607007086277008, -0.05707307159900665, 0.5470343828201294]","[-0.3114832639694214, -0.07893536984920502, 0.6946581602096558]","[-0.3193037211894989, -0.08629334717988968, 0.7162227034568787]","[-0.2004656344652176, -0.030246242880821228, 0.5258040428161621]","[-0.05760559067130089, 0.00016836119175422937, 0.346163809299469]","[-0.05242059379816055, 0.009731295518577099, 0.3116104006767273]","[-0.24732616543769836, -0.08549805730581284, 0.5697348117828369]","[-0.16926056146621704, -0.06601780652999878, 0.436856210231781]","[-0.07047174125909805, -0.018942348659038544, 0.3227382302284241]"
"[-0.0, 0.0, 0.3388044536113739]","[-0.04506390541791916, -0.008205259218811989, 0.3398013412952423]","[0.020960204303264618, 0.03106025420129299, 0.23870356380939484]","[0.15097710490226746, 0.05253700911998749, 0.07832854986190796]","[-0.007056274451315403, 0.010381252504885197, 0.3153942823410034]","[0.0952514037489891, 0.048742618411779404, 0.15356342494487762]","[0.22599376738071442, 0.054648686200380325, 0.0]","[-0.09554315358400345, -0.008312230929732323, 0.40592604875564575]","[-0.22201672196388245, -0.05862690508365631, 0.5444167852401733]","[-0.3239096701145172, -0.08208512514829636, 0.711182713508606]","[-0.33001866936683655, -0.08858777582645416, 0.7296335697174072]","[-0.20936962962150574, -0.03477677330374718, 0.5244858860969543]","[-0.06369311362504959, -0.0017395069589838386, 0.3444092571735382]","[-0.048888977617025375, 0.005070812534540892, 0.29944586753845215]","[-0.24885864555835724, -0.08416029065847397, 0.5651833415031433]","[-0.16572809219360352, -0.062095750123262405, 0.42495784163475037]","[-0.07739056646823883, -0.01985391601920128, 0.3222896158695221]"
"[-0.0, 0.0, 0.2913385033607483]","[-0.043331846594810486, -0.009637021459639072, 0.293585866689682]","[0.04013391211628914, 0.02839135006070137, 0.17987525463104248]","[0.17721106112003326, 0.04582389444112778, 0.02333661913871765]","[-0.003265136620029807, 0.006095795426517725, 0.26666393876075745]","[0.07464465498924255, 0.044245317578315735, 0.14126190543174744]","[0.18624481558799744, 0.050331298261880875, 0.0]","[-0.09503021091222763, -0.007731175050139427, 0.3595372438430786]","[-0.2301912158727646, -0.057540252804756165, 0.49941638112068176]","[-0.33872559666633606, -0.08037980645895004, 0.664469838142395]","[-0.34549829363822937, -0.0860934928059578, 0.6835372447967529]","[-0.21165044605731964, -0.03675832226872444, 0.47666266560554504]","[-0.06487329304218292, -0.007674231659621, 0.3055797219276428]","[-0.027298400178551674, -0.009112052619457245, 0.2349366545677185]","[-0.25964221358299255, -0.08023785054683685, 0.5218621492385864]","[-0.17920318245887756, -0.05846167355775833, 0.3864608108997345]","[-0.10577698051929474, -0.02349100075662136, 0.3021000325679779]"
